hidden_size	num_epochs	reg	batch_size	momentum	learning_rate_decay	learning_rate	best_train	best_val
150.0	50.0	0.8	600.0	0.9	0.95	0.00018	0.633	0.546
100.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.6779999999999999	0.546
150.0	50.0	0.8	600.0	0.9	0.95	0.00018	0.63	0.55
150.0	50.0	0.1	400.0	0.9	0.95	0.00018	0.763	0.561
150.0	50.0	0.1	600.0	0.9	0.95	8e-05	0.5870000000000001	0.512
125.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.693	0.544
150.0	50.0	0.9	600.0	0.9	0.95	0.00018	0.639	0.552
150.0	50.0	0.1	600.0	0.9	0.95	0.00013000000000000002	0.649	0.5489999999999999
150.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.716	0.5539999999999999
150.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.693	0.55
150.0	50.0	0.1	1000.0	0.9	0.95	0.00018	0.633	0.552
150.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.6940000000000001	0.546
150.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.7040000000000001	0.556
150.0	50.0	0.1	1500.0	0.9	0.95	0.00018	0.5529999999999999	0.499
175.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.7090000000000001	0.561
150.0	50.0	0.11	600.0	0.9	0.95	0.00018	0.688	0.561
150.0	50.0	0.1	600.0	0.9	0.95	0.0004	0.821	0.5589999999999999
150.0	50.0	0.1	2000.0	0.9	0.95	0.00018	0.529	0.488
150.0	50.0	0.12	600.0	0.9	0.95	0.00018	0.688	0.562
150.0	50.0	0.1	600.0	0.9	0.95	0.001	0.872	0.544
200.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.713	0.561
150.0	50.0	0.1	400.0	0.9	0.95	0.00018	0.76	0.5539999999999999
100.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.684	0.53
150.0	50.0	0.8	600.0	0.9	0.95	0.00018	0.647	0.5539999999999999
150.0	50.0	0.1	600.0	0.9	0.95	8e-05	0.602	0.521
125.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.682	0.5579999999999999
150.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.6920000000000001	0.57
150.0	50.0	0.9	600.0	0.9	0.95	0.00018	0.634	0.542
150.0	50.0	0.1	600.0	0.9	0.95	0.00013000000000000002	0.632	0.55
150.0	50.0	0.1	1000.0	0.9	0.95	0.00018	0.627	0.537
150.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.6970000000000001	0.56
150.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.698	0.552
150.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.695	0.56
150.0	50.0	0.1	1500.0	0.9	0.95	0.00018	0.568	0.51
175.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.7290000000000001	0.557
150.0	50.0	0.11	600.0	0.9	0.95	0.00018	0.7040000000000001	0.562
150.0	50.0	0.1	600.0	0.9	0.95	0.0004	0.812	0.555
150.0	50.0	0.1	2000.0	0.9	0.95	0.00018	0.534	0.48
150.0	50.0	0.12	600.0	0.9	0.95	0.00018	0.695	0.5489999999999999
150.0	50.0	0.1	600.0	0.9	0.95	0.001	0.878	0.552
200.0	50.0	0.1	600.0	0.9	0.95	0.00018	0.7140000000000001	0.552
175.0	50.0	0.1	600.0	0.9	0.9	0.0003	0.69	0.5589999999999999
175.0	50.0	0.1	600.0	0.9	0.9	0.00025	0.6629999999999999	0.535
175.0	50.0	0.1	600.0	0.9	0.9	0.0004	0.754	0.563
175.0	50.0	0.1	600.0	0.9	0.9	0.00035	0.72	0.568
175.0	50.0	0.1	600.0	0.9	0.9	0.00035	0.716	0.556
175.0	50.0	0.1	600.0	0.9	0.9	0.00035	0.7120000000000001	0.552
175.0	50.0	0.1	600.0	0.9	0.9	0.00035	0.7070000000000001	0.541
175.0	50.0	0.1	600.0	0.9	0.9	0.0004	0.732	0.5539999999999999
175.0	50.0	0.1	400.0	0.9	0.9	0.00025	0.716	0.537
175.0	50.0	0.1	600.0	0.9	0.9	0.0004	0.731	0.5429999999999999
175.0	50.0	0.1	400.0	0.9	0.9	0.0003	0.743	0.556
175.0	50.0	0.1	600.0	0.9	0.9	0.0004	0.7340000000000001	0.552
175.0	50.0	0.1	400.0	0.9	0.9	0.00035	0.763	0.5579999999999999
175.0	50.0	0.1	400.0	0.9	0.9	0.004	0.11900000000000001	0.09300000000000001
175.0	50.0	0.1	400.0	0.9	0.9	0.001	0.868	0.553
